time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
26062;D;0;22,0;22,0;11,0;0,5461602621388144;20,371777777777776;37,3;1,6011111111111112
26062;D;1;22,0;22,0;6,0;0,9258717757936509;59,255793650793656;64,0;1,6011111111111112
26062;D;3;22,0;22,0;9,0;0,6257874803183113;23,341873015873013;37,3;1,6011111111111112
26062;D;5;0,0;0,0;;;;;0,0
26062;D;7;22,0;22,0;10,0;0,7551175213675214;39,266111111111115;52,0;1,6011111111111112
26100;U;0;22,0;22,0;11,0;0,5523860589812333;20,604;37,3;0,23222222222222225
26100;U;1;22,0;22,0;6,0;0,929500248015873;59,488015873015875;64,0;0,23222222222222225
26100;U;3;22,0;22,0;9,0;0,6320132771607302;23,574095238095236;37,3;0,23222222222222225
26100;U;7;22,0;22,0;10,0;0,7595833333333334;39,498333333333335;52,0;0,23222222222222225
26196;A;0;22,0;22,0;11,0;0,5681143878462913;21,190666666666665;37,3;0,5866666666666667
26196;A;1;22,0;22,0;6,0;0,9386669146825397;60,07468253968254;64,0;0,5866666666666667
26196;A;3;22,0;22,0;9,0;0,6477416060257883;24,1607619047619;37,3;0,5866666666666667
26196;A;5;22,0;22,0;12,0;0,68;21,964;32,3;
26196;A;7;22,0;22,0;10,0;0,7708653846153847;40,085;52,0;0,5866666666666667
26400;U;0;22,0;22,0;11,0;0,6015370866845398;22,43733333333333;37,3;1,2466666666666668
26400;U;1;22,0;22,0;6,0;0,9581460813492064;61,32134920634921;64,0;1,2466666666666668
26400;U;3;22,0;22,0;9,0;0,6811643048640367;25,407428571428568;37,3;1,2466666666666668
26400;U;5;22,0;22,0;12,0;0,7185964912280702;23,210666666666665;32,3;1,2466666666666668
26400;U;7;22,0;22,0;10,0;0,7948397435897436;41,33166666666667;52,0;1,2466666666666668
26687;A;0;20,0;20,0;11,0;0,648558236520703;24,19122222222222;37,3;1,753888888888889
26687;A;1;20,0;20,0;6,0;0,9855505952380953;63,0752380952381;64,0;1,753888888888889
26687;A;2;20,0;20,0;13,0;0,62;46,5;75,0;
26687;A;3;20,0;20,0;9,0;0,7281854547001999;27,161317460317456;37,3;1,753888888888889
26687;A;5;20,0;20,0;12,0;0,7728964568283454;24,964555555555553;32,3;1,753888888888889
26687;A;7;20,0;20,0;10,0;0,8285683760683761;43,08555555555556;52,0;1,753888888888889
26700;U;0;20,0;20,0;11,0;0,6504944891271969;24,263444444444442;37,3;0,07222222222222223
26700;U;1;20,0;20,0;6,0;0,9866790674603175;63,14746031746032;64,0;0,07222222222222223
26700;U;2;20,0;20,0;13,0;0,6209629629629629;46,57222222222222;75,0;0,07222222222222223
26700;U;3;20,0;20,0;9,0;0,7301217073066939;27,23353968253968;37,3;0,07222222222222223
26700;U;5;20,0;20,0;12,0;0,7751324389404884;25,036777777777775;32,3;0,07222222222222223
26700;U;7;20,0;20,0;10,0;0,8299572649572651;43,15777777777778;52,0;0,07222222222222223
26784;A;0;20,0;20,0;11,0;0,6630056598153112;24,730111111111107;37,3;0,4666666666666667
26784;A;1;0,0;0,0;6,0;0,9939707341269842;63,61412698412699;64,0;0,4666666666666667
26784;A;2;20,0;20,0;13,0;0,6271851851851852;47,03888888888889;75,0;0,4666666666666667
26784;A;3;20,0;20,0;9,0;0,7426328779948081;27,700206349206344;37,3;0,4666666666666667
26784;A;4;20,0;20,0;14,0;0,5;16,15;32,3;
26784;A;5;20,0;20,0;12,0;0,7895803233574131;25,50344444444444;32,3;0,4666666666666667
26784;A;7;20,0;20,0;10,0;0,838931623931624;43,62444444444445;52,0;0,4666666666666667
27000;U;0;20,0;20,0;11,0;0,6951772415847483;25,930111111111106;37,3;1,2
27000;U;1;0,0;0,0;6,0;0,9939707341269842;63,61412698412699;64,0;0,0
27000;U;2;20,0;20,0;13,0;0,6431851851851853;48,238888888888894;75,0;1,2
27000;U;3;20,0;20,0;9,0;0,7748044597642452;28,900206349206343;37,3;1,2
27000;U;4;20,0;20,0;14,0;0,5371517027863777;17,349999999999998;32,3;1,2
27000;U;5;20,0;20,0;12,0;0,8267320261437908;26,70344444444444;32,3;1,2
27000;U;7;20,0;20,0;10,0;0,8620085470085471;44,82444444444445;52,0;1,2
27075;D;0;20,0;20,0;11,0;0,7063479296991361;26,346777777777774;37,3;0,4166666666666667
27075;D;1;0,0;0,0;;;;;0,0
27075;D;2;20,0;20,0;13,0;0,6487407407407407;48,65555555555556;75,0;0,4166666666666667
27075;D;3;20,0;20,0;9,0;0,7859751478786331;29,31687301587301;37,3;0,4166666666666667
27075;D;4;20,0;20,0;14,0;0,5500515995872033;17,766666666666666;32,3;0,4166666666666667
27075;D;5;20,0;20,0;12,0;0,8396319229446164;27,120111111111108;32,3;0,4166666666666667
27075;D;7;20,0;20,0;10,0;0,8700213675213676;45,24111111111112;52,0;0,4166666666666667
27300;U;0;20,0;20,0;11,0;0,7398599940422996;27,596777777777774;37,3;1,25
27300;U;2;20,0;20,0;13,0;0,6654074074074074;49,90555555555556;75,0;1,25
27300;U;3;20,0;20,0;9,0;0,8194872122217965;30,56687301587301;37,3;1,25
27300;U;4;20,0;20,0;14,0;0,5887512899896801;19,016666666666666;32,3;1,25
27300;U;5;20,0;20,0;12,0;0,8783316133470932;28,370111111111108;32,3;1,25
27300;U;7;20,0;20,0;10,0;0,8940598290598292;46,49111111111112;52,0;1,25
27439;A;0;17,142857142857142;17,142857142857142;11,0;0,7605630026809651;28,368999999999996;37,3;0,7722222222222223
27439;A;2;17,142857142857142;17,142857142857142;13,0;0,6757037037037038;50,677777777777784;75,0;0,7722222222222223
27439;A;3;17,142857142857142;17,142857142857142;9,0;0,840190220860462;31,339095238095233;37,3;0,7722222222222223
27439;A;4;17,142857142857142;17,142857142857142;14,0;0,6126590987272102;19,788888888888888;32,3;0,7722222222222223
