# Example simulation
time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
51600;U;5;13,333333333333334;13,333333333333334;43,0;0,7655072242572243;39,80637566137566;52,0;1,0
51600;U;6;13,333333333333334;13,333333333333334;46,0;0,6032636345136344;31,36970899470899;52,0;1,0
51600;U;7;13,333333333333334;13,333333333333334;49,0;0,807428774928775;41,986296296296295;52,0;1,0
51600;U;8;13,333333333333334;13,333333333333334;50,0;0,7865954415954417;40,90296296296297;52,0;1,0
51600;U;9;13,333333333333334;13,333333333333334;51,0;0,7255208333333333;46,43333333333333;64,0;1,0
51900;U;0;0,0;0,0;39,0;1,0;52,0;52,0;0,0
51900;U;1;13,333333333333334;13,333333333333334;44,0;0,7901226088726089;41,08637566137566;52,0;1,1111111111111112
51900;U;2;13,333333333333334;13,333333333333334;45,0;0,8664794464794465;45,05693121693122;52,0;1,1111111111111112
51900;U;3;13,333333333333334;13,333333333333334;47,0;0,7546451622054837;28,148264550264543;37,3;1,1111111111111112
51900;U;4;13,333333333333334;13,333333333333334;48,0;0,9625691900691902;50,05359788359789;52,0;1,1111111111111112
51900;U;5;13,333333333333334;13,333333333333334;43,0;0,7868747456247457;40,917486772486775;52,0;1,1111111111111112
51900;U;6;13,333333333333334;13,333333333333334;46,0;0,6246311558811558;32,4808201058201;52,0;1,1111111111111112
51900;U;7;13,333333333333334;13,333333333333334;49,0;0,8287962962962964;43,09740740740741;52,0;1,1111111111111112
51900;U;8;13,333333333333334;13,333333333333334;50,0;0,8079629629629631;42,01407407407408;52,0;1,1111111111111112
51900;U;9;13,333333333333334;13,333333333333334;51,0;0,7428819444444444;47,544444444444444;64,0;1,1111111111111112
52134;D;0;0,0;0,0;;;;;0,0
52134;D;1;13,333333333333334;13,333333333333334;44,0;0,8067892755392756;41,95304232804233;52,0;0,8666666666666667
52134;D;2;13,333333333333334;13,333333333333334;45,0;0,8831461131461131;45,923597883597886;52,0;0,8666666666666667
52134;D;3;13,333333333333334;13,333333333333334;47,0;0,7778801934834105;29,01493121693121;37,3;0,8666666666666667
52134;D;4;13,333333333333334;13,333333333333334;48,0;0,9792358567358568;50,920264550264555;52,0;0,8666666666666667
52134;D;5;13,333333333333334;13,333333333333334;43,0;0,8035414122914124;41,78415343915344;52,0;0,8666666666666667
52134;D;6;13,333333333333334;13,333333333333334;46,0;0,6412978225478224;33,34748677248677;52,0;0,8666666666666667
52134;D;7;13,333333333333334;13,333333333333334;49,0;0,845462962962963;43,96407407407408;52,0;0,8666666666666667
52134;D;8;13,333333333333334;13,333333333333334;50,0;0,8246296296296298;42,88074074074075;52,0;0,8666666666666667
52134;D;9;13,333333333333334;13,333333333333334;51,0;0,7564236111111111;48,41111111111111;64,0;0,8666666666666667
52200;U;1;13,333333333333334;13,333333333333334;44,0;0,8114901302401303;42,197486772486776;52,0;0,24444444444444446
52200;U;2;13,333333333333334;13,333333333333334;45,0;0,8878469678469679;46,16804232804233;52,0;0,24444444444444446
52200;U;3;13,333333333333334;13,333333333333334;47,0;0,7844336638438514;29,259375661375653;37,3;0,24444444444444446
52200;U;4;13,333333333333334;13,333333333333334;48,0;0,9839367114367116;51,164708994709;52,0;0,24444444444444446
52200;U;5;13,333333333333334;13,333333333333334;43,0;0,8082422669922671;42,02859788359789;52,0;0,24444444444444446
52200;U;6;13,333333333333334;13,333333333333334;46,0;0,6459986772486772;33,591931216931215;52,0;0,24444444444444446
52200;U;7;13,333333333333334;13,333333333333334;49,0;0,8501638176638178;44,208518518518524;52,0;0,24444444444444446
52200;U;8;13,333333333333334;13,333333333333334;50,0;0,8293304843304845;43,125185185185195;52,0;0,24444444444444446
52200;U;9;13,333333333333334;13,333333333333334;51,0;0,7602430555555556;48,65555555555556;64,0;0,24444444444444446
52208;A;0;12,0;12,0;52,0;0,68;25,772000000000002;37,9;
52208;A;1;12,0;12,0;44,0;0,8120599308099309;42,22711640211641;52,0;0,02962962962962963
52208;A;2;12,0;12,0;45,0;0,8884167684167685;46,197671957671965;52,0;0,02962962962962963
52208;A;3;12,0;12,0;47,0;0,7852280238875411;29,28900529100528;37,3;0,02962962962962963
52208;A;4;12,0;12,0;48,0;0,9845065120065122;51,194338624338634;52,0;0,02962962962962963
52208;A;5;12,0;12,0;43,0;0,8088120675620677;42,05822751322752;52,0;0,02962962962962963
52208;A;6;12,0;12,0;46,0;0,6465684778184778;33,62156084656085;52,0;0,02962962962962963
52208;A;7;12,0;12,0;49,0;0,8507336182336184;44,238148148148156;52,0;0,02962962962962963
52208;A;8;12,0;12,0;50,0;0,8299002849002851;43,15481481481483;52,0;0,02962962962962963
52208;A;9;12,0;12,0;51,0;0,7607060185185186;48,68518518518519;64,0;0,02962962962962963
52500;U;0;13,333333333333334;13,333333333333334;52,0;0,7056816182937555;26,745333333333335;37,9;0,9733333333333334
52500;U;1;13,333333333333334;13,333333333333334;44,0;0,8307778795278797;43,200449735449745;52,0;0,9733333333333334
52500;U;2;13,333333333333334;13,333333333333334;45,0;0,9071347171347173;47,1710052910053;52,0;0,9733333333333334
